,Unnamed: 0,Volume,Last,Chg,% Chg
76,Semler Scientific Inc. (SMLR),432.2K,33.28,3.45,11.57
77,Kazia Therapeutics Ltd. ADR (KZIA),52.9K,3.44,0.35,11.33
78,bluebird bio Inc. (BLUE),150.5K,4.34,0.44,11.28
79,Rapport Therapeutics Inc. (RAPP),136.3K,11.55,1.17,11.27
80,Aligos Therapeutics Inc. (ALGS),97.8K,5.14,0.52,11.26
81,Outbrain Inc. (OB),755.3K,3.57,0.36,11.21
82,Nuvectis Pharma Inc. (NVCT),100.6K,9.27,0.93,11.15
83,Metsera Inc. (MTSR),1.0M,21.68,2.17,11.12
84,Denali Therapeutics Inc. (DNLI),1.9M,14.6,1.45,11.03
85,MeiraGTx Holdings PLC (MGTX),809.5K,6.27,0.62,10.97
86,Full House Resorts Inc. (FLL),136.2K,3.24,0.32,10.96
87,RH (RH),2.5M,172.8,17.01,10.92
88,Evotec SE ADR (EVO),339.7K,3.97,0.39,10.89
89,Hut 8 Corp. (HUT),8.0M,11.79,1.15,10.81
90,American Vanguard Corp. (AVD),221.7K,4.21,0.41,10.79
91,Enliven Therapeutics Inc. (ELVN),508.0K,17.97,1.75,10.79
92,Galecto Inc. (GLTO),87.6K,2.68,0.26,10.74
93,Arcturus Therapeutics Holdings Inc. (ARCT),459.7K,12.17,1.17,10.64
94,NuScale Power Corp. (SMR),6.1M,15.09,1.45,10.63
95,First Solar Inc. (FSLR),8.0M,135.35,12.9,10.53
96,Atkore Inc. (ATKR),822.5K,62.66,5.93,10.45
97,Avalo Therapeutics Inc. (AVTX),74.3K,4.87,0.46,10.43
98,PagSeguro Digital Ltd. Cl A (PAGS),7.3M,9.35,0.88,10.39
99,4D Molecular Therapeutics Inc. (FDMT),651.2K,3.4,0.32,10.39
